id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6400;The Studio Milan;13822;Francesca;-;TIBALDI;Milán;Private room;100;116;4;12;1;358;Disponibilidad alta;particular
23986;""" Characteristic Milanese flat""";95941;Jeremy;-;NAVIGLI;Milán;Entire home/apt;150;174;1;15;1;363;Disponibilidad alta;particular
28300;nice flat near the park;121663;Marta;-;SARPI;Milán;Private room;180;208,8;1;8;1;365;Disponibilidad alta;particular
32119;Nico & Cynthia's Easy Yellow Suite;138683;Nico&Cinzia;-;VIALE MONZA;Milán;Entire home/apt;75;87;2;15;3;200;Disponibilidad alta;profesional
32649;Nico&Cinzia's Red Easy Suite!;138683;Nico&Cinzia;-;VIALE MONZA;Milán;Entire home/apt;71;82,36;2;29;3;308;Disponibilidad alta;profesional
37256;COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER;119002;Giancarlo;-;BUENOS AIRES - VENEZIA;Milán;Private room;55;63,8;2;34;2;0;Disponibilidad baja;particular
40470;Giacinto Cosy & clean flat near MM1;174203;Giacinto;-;VIALE MONZA;Milán;Entire home/apt;75;87;3;37;2;350;Disponibilidad alta;particular
42732;Navigli near down town, linked Expo;186608;Francesco;-;MAGENTA - S. VITTORE;Milán;Entire home/apt;199;230,84;2;14;2;362;Disponibilidad alta;particular
46536;Nico & Cinzia's Pink Suite!;138683;Nico&Cinzia;-;VIALE MONZA;Milán;Entire home/apt;76;88,16;2;27;3;150;Disponibilidad media;profesional
55055;BEAUTIFUL MODERN ATTIC CENTER OF MI;246217;Cristina;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;145;168,2;3;2;1;365;Disponibilidad alta;particular
59226;Near Piazza Gae Aulenti silent e reserved flat;244087;Francesca;-;CENTRALE;Milán;Entire home/apt;80;92,8;2;7;1;89;Disponibilidad baja;particular
65142;Very Nice Luxury Apt Central Milan;318394;Angelo;-;CENTRALE;Milán;Entire home/apt;52;60,32;20;353;1;191;Disponibilidad alta;particular
69749;Charming Apt in the heart of Milan;144021;Silvia&Max;-;XXII MARZO;Milán;Entire home/apt;140;162,4;2;95;5;87;Disponibilidad baja;profesional
70591;Chiara & Mesopotamia: Charmy & Lightly home;358567;Chiara;-;SARPI;Milán;Private room;100;116;1;165;1;364;Disponibilidad alta;particular
73892;BRERA LOVELY STUDIO FOR YOU 3;387110;Silvia;-;BRERA;Milán;Entire home/apt;101;117,16;2;84;3;356;Disponibilidad alta;profesional
74835;Amazin attic in front of the castle;157872;Augusto;-;DUOMO;Milán;Entire home/apt;280;324,8;7;3;1;0;Disponibilidad baja;particular
76671;Charming Attic, You Will Love It;409538;Valentina;-;TICINESE;Milán;Entire home/apt;80;92,8;3;2;1;242;Disponibilidad alta;particular
77958;BRERA  LOVELY WHITE BOAT STUDIO 2;387110;Silvia;-;BRERA;Milán;Entire home/apt;100;116;2;70;3;361;Disponibilidad alta;profesional
79696;Special loft Navigli/Bocconi/Duomo;429570;Cristina;-;TICINESE;Milán;Entire home/apt;90;104,4;2;45;4;111;Disponibilidad media;profesional
81202;Sunny Apartment Milan;439051;Gian Luca;-;ISOLA;Milán;Entire home/apt;79;91,64;3;10;1;313;Disponibilidad alta;particular
81908;DESIGN FASHION WEEK APARTMENTT;445128;Anna;-;BANDE NERE;Milán;Entire home/apt;250;290;7;4;1;365;Disponibilidad alta;particular
82227;Your green oasis in Milan's center.;447162;Michele;-;WASHINGTON;Milán;Entire home/apt;70;81,2;3;6;1;364;Disponibilidad alta;particular
82635;Mansarda con terrazzo;443414;Paola;-;UMBRIA - MOLISE;Milán;Entire home/apt;90;104,4;5;4;1;87;Disponibilidad baja;particular
84741;Nice room with private bathroom;443989;Francesca;-;PARCO FORLANINI - ORTICA;Milán;Private room;23;26,68;2;464;2;0;Disponibilidad baja;particular
84903;Cozy apartment for rent in Milano!!;464513;Alessandra;-;LAMBRATE;Milán;Entire home/apt;45;52,2;2;37;1;0;Disponibilidad baja;particular
85798;The Family Loft|Parking| Istituto dei Tumori;470396;Michelle;-;LAMBRATE;Milán;Entire home/apt;70;81,2;1;59;3;22;Disponibilidad baja;profesional
88130;Great comfortable & quite APT. x 4 people!;481475;Cinzia;-;VILLAPIZZONE;Milán;Entire home/apt;195;226,2;2;6;1;363;Disponibilidad alta;particular
90830;Beautiful original loft with garden;414209;Laura;-;NAVIGLI;Milán;Entire home/apt;110;127,6;2;12;1;358;Disponibilidad alta;particular
92978;Navigli district – Nice room for easygoing women;499575;Elena;-;NAVIGLI;Milán;Private room;30;34,8;2;11;1;358;Disponibilidad alta;particular
93025;Elegant Apartment - Milano downtown;499743;Angela;-;GUASTALLA;Milán;Entire home/apt;90;104,4;2;62;1;0;Disponibilidad baja;particular
93232;Spacious luminous central flat;500414;Chiara;-;XXII MARZO;Milán;Private room;55;63,8;5;10;1;364;Disponibilidad alta;particular
93888;44 Suite Harmony Central train Station;502750;Ale & Max;-;CENTRALE;Milán;Entire home/apt;70;81,2;1;444;4;8;Disponibilidad baja;profesional
94233;Nice Loft close to C.so Como Milan;503840;Andre & A.;-;ISOLA;Milán;Entire home/apt;95;110,2;1;38;4;192;Disponibilidad alta;profesional
98119;NiceRoom & SofàBed under the Roof !;503840;Andre & A.;-;ISOLA;Milán;Private room;65;75,4;2;33;4;191;Disponibilidad alta;profesional
98500;LUXURIOUS bright adjacent Avenida;514653;Angelo;-;CITTA' STUDI;Milán;Entire home/apt;230;266,8;1;11;4;365;Disponibilidad alta;profesional
99234;Loft|Terrace & Free public Parking;470396;Michelle;-;LAMBRATE;Milán;Private room;43;49,88;1;95;3;3;Disponibilidad baja;profesional
101087;"Flat "" Chiesa Rossa2 in Milan";530151;Vincenzo;-;STADERA;Milán;Entire home/apt;60;69,6;3;8;1;1;Disponibilidad baja;particular
101550;S. Siro - Bright, quiet & close to everywhere;531941;Iacopo;-;S. SIRO;Milán;Private room;17;19,72;90;51;2;365;Disponibilidad alta;particular
102817;Open Space Loft Navigli Area Milano;512747;Paolo Maurizio;-;S. CRISTOFORO;Milán;Entire home/apt;55;63,8;3;541;3;321;Disponibilidad alta;profesional
104449;Magic House in the heart  of town;543620;Roberta;-;ISOLA;Milán;Entire home/apt;120;139,2;2;124;2;177;Disponibilidad media;particular
105082;Bright Room in a Charming Flat;194148;MariaVittoria;-;BUENOS AIRES - VENEZIA;Milán;Private room;76;88,16;2;9;2;364;Disponibilidad alta;particular
106345;Sunny room: Italian Design taste;551230;Caterina;-;CENTRALE;Milán;Private room;60;69,6;1;27;1;365;Disponibilidad alta;particular
109384;Design apartment Wifi Fiera Mico;564830;Giovanni;-;WASHINGTON;Milán;Entire home/apt;80;92,8;2;146;1;284;Disponibilidad alta;particular
122514;Brand new appartment in Milan;613760;Marco;-;GIAMBELLINO;Milán;Entire home/apt;50;58;2;46;1;323;Disponibilidad alta;particular
136364;Romantic Room: Milano Bella B&B;667647;Martin;-;BUENOS AIRES - VENEZIA;Milán;Private room;90;104,4;2;2;3;0;Disponibilidad baja;profesional
138071;Milan Navigli 1 bedroom flat quaint;674434;Max;-;NAVIGLI;Milán;Entire home/apt;98;113,68;1;67;1;227;Disponibilidad alta;particular
140134;Nice flat, piano and yoga classes!;144021;Silvia&Max;-;XXII MARZO;Milán;Private room;49;56,84;1;247;5;89;Disponibilidad baja;profesional
140874;Experience a 3 level house in Milan;685839;Serena;-;ISOLA;Milán;Private room;49;56,84;1;123;1;355;Disponibilidad alta;particular
141833;Piccolo Attico Duomo // 3-18 months stay contract;689467;Ilaria;-;DUOMO;Milán;Entire home/apt;180;208,8;15;79;7;190;Disponibilidad alta;profesional
142784;downtown ONLY for WOMEN  subway wi-fi SINGLE ROOM;693290;Alessandra;-;PADOVA;Milán;Private room;41;47,56;1;127;1;0;Disponibilidad baja;particular
143329;holiday rental apartment milan central;695509;Sonia;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;72;83,52;3;48;1;306;Disponibilidad alta;particular
143674;Sunny Room + Private Bath in Milan;682510;Gio;-;ISOLA;Milán;Private room;31;35,96;3;186;1;0;Disponibilidad baja;particular
155720;matrimoni red room on Canals center;748765;Bruna;-;NAVIGLI;Milán;Private room;40;46,4;1;135;4;222;Disponibilidad alta;profesional
161605;Green private room and bath;773109;Monica;-;UMBRIA - MOLISE;Milán;Private room;130;150,8;3;2;2;364;Disponibilidad alta;particular
169871;B&B Milano Bella: Relax in Town;667647;Martin;-;BUENOS AIRES - VENEZIA;Milán;Private room;90;104,4;1;5;3;0;Disponibilidad baja;profesional
171017;Charming Terrace Flat with Veranda, 15 min Centre;815807;Katia;-;LORETO;Milán;Entire home/apt;40;46,4;2;310;1;257;Disponibilidad alta;particular
172600;Stay at 100m from FieraMilanoCity;819192;Elena;-;DE ANGELI - MONTE ROSA;Milán;Entire home/apt;59;68,44;2;32;1;43;Disponibilidad baja;particular
178992;Very bright, quiet, cosy, Navigli-Bocconi-centre;856935;Ottavia;-;TICINESE;Milán;Entire home/apt;43;49,88;30;0;47;0;Disponibilidad baja;profesional
179197;300 yr. old Loft Central Milan;857154;Richard;-;TICINESE;Milán;Entire home/apt;75;87;1;344;1;0;Disponibilidad baja;particular
189441;A cozy loft in Milan fully equipped;913914;Edoardo;-;BOVISASCA;Milán;Private room;35;40,6;2;113;1;180;Disponibilidad media;particular
189457;Bright Openspace in city centre;913985;Sonia;-;WASHINGTON;Milán;Entire home/apt;145;168,2;2;35;1;362;Disponibilidad alta;particular
