id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
6369,"Rooftop terrace room ,  ensuite bathroom",13660,Simon,Hispanoamérica,Chamartín,Madrid,Private room,"60,00 €","$69,60",78,1,180,Disponibilidad media,particular
21853,Bright and airy room,83531,Abdel,Cármenes,Latina,Madrid,Private room,"31,00 €","$35,96",33,2,364,Disponibilidad alta,particular
23001,Apartmento Arganzuela- Madrid Rio,82175,Jesus,Legazpi,Arganzuela,Madrid,Entire home/apt,"50,00 €","$58,00",0,7,1,Disponibilidad baja,profesional
24805,Gran Via Studio Madrid,346366726,A,Universidad,Centro,Madrid,Entire home/apt,"92,00 €","$106,72",10,1,72,Disponibilidad baja,particular
26825,Single Room whith private Bathroom,114340,Agustina,Legazpi,Arganzuela,Madrid,Private room,"26,00 €","$30,16",149,1,365,Disponibilidad alta,particular
28200,Apartamento Arganzuela Planetario,82175,Jesus,Legazpi,Arganzuela,Madrid,Entire home/apt,"85,00 €","$98,60",3,7,365,Disponibilidad alta,profesional
30320,Great Vacational Apartments,130907,Dana,Sol,Centro,Madrid,Entire home/apt,"65,00 €","$75,40",170,3,351,Disponibilidad alta,profesional
30959,Beautiful loft in Madrid Center,132883,Angela,Embajadores,Centro,Madrid,Entire home/apt,"54,00 €","$62,64",8,1,0,Disponibilidad baja,particular
37859,"PISO, OPERA, MADRID, GRANDE",162701,Nacho,Palacio,Centro,Madrid,Entire home/apt,"1400,00 €","$1624,00",0,3,365,Disponibilidad alta,profesional
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Justicia,Centro,Madrid,Entire home/apt,"79,00 €","$91,64",118,11,302,Disponibilidad alta,profesional
40916,Holiday Apartment Madrid Center,130907,Dana,Universidad,Centro,Madrid,Entire home/apt,"90,00 €","$104,40",48,3,346,Disponibilidad alta,profesional
47957,"Amazing Apartment, Salamanca Distri",218515,Sergio,Goya,Salamanca,Madrid,Entire home/apt,"82,00 €","$95,12",55,2,319,Disponibilidad alta,particular
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Justicia,Centro,Madrid,Private room,"24,00 €","$27,84",79,2,357,Disponibilidad alta,particular
64131,Habitación Metro Lacoma,313365,Gina,Peñagrande,Fuencarral - El Pardo,Madrid,Private room,"21,00 €","$24,36",35,2,364,Disponibilidad alta,particular
70059,Tu hogar en centro de Madrid.,353616,Diana,Universidad,Centro,Madrid,Entire home/apt,"51,00 €","$59,16",41,1,38,Disponibilidad baja,particular
70316,Superbly located Monthly rental Bills Incl.,353738,Raquel,Palacio,Centro,Madrid,Entire home/apt,"75,00 €","$87,00",7,1,348,Disponibilidad alta,particular
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Embajadores,Centro,Madrid,Entire home/apt,"139,00 €","$161,24",108,5,180,Disponibilidad media,profesional
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Embajadores,Centro,Madrid,Entire home/apt,"80,00 €","$92,80",5,1,288,Disponibilidad alta,particular
75609,Estudio Museo Dino,401552,Mercedes,Embajadores,Centro,Madrid,Entire home/apt,"63,00 €","$73,08",56,1,46,Disponibilidad baja,particular
