id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
35303,"La Casa Gaienmae C Harajuku, Omotesando is nearby",151977,Miyuki,Shibuya Ku,"",Tokyo,Private room,¥4196,"$28,11",18,3,-1,'-,Profesional
289597,Private apt in central Tokyo #203,341577,Hide&Kei,Nerima Ku,"",Tokyo,Entire home/apt,¥4196,"$28,11",107,2,-1,'-,Profesional
370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",Setagaya Ku,"",Tokyo,Entire home/apt,¥6994,"$46,86",99,3,-1,'-,Profesional
700253,Private apt in central Tokyo #201,341577,Hide&Kei,Nerima Ku,"",Tokyo,Entire home/apt,¥3981,"$26,67",101,2,-1,'-,Profesional
872235,RELAX AT HOME:Shimo 5'/Shibuya 10',1573631,"Gilles,Mayumi,Taiki",Setagaya Ku,"",Tokyo,Entire home/apt,¥9469,"$63,44",41,3,-1,'-,Profesional
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,Shinjuku Ku,"",Tokyo,Entire home/apt,¥5165,"$34,61",90,2,-1,'-,Profesional
905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,Shibuya Ku,"",Tokyo,Private room,¥9684,"$64,88",175,12,-1,'-,Profesional
1007534,Kichijoji Parkside Attic Room,5068769,Caroline,Mitaka Shi,"",Tokyo,Private room,¥6564,"$43,98",85,2,-1,'-,Profesional
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,Shinjuku Ku,"",Tokyo,Private room,¥8500,"$56,95",233,2,-1,'-,Profesional
1289173,"Fashionable Harajuku/Omotesando, next to Shibuya",151977,Miyuki,Shibuya Ku,"",Tokyo,Entire home/apt,¥7747,"$51,90",49,3,-1,'-,Profesional
1298200,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,6606987,K & N,Katsushika Ku,"",Tokyo,Entire home/apt,¥13020,"$87,23",306,3,-1,'-,Profesional
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,Shinjuku Ku,"",Tokyo,Entire home/apt,¥27976,"$187,44",144,2,-1,'-,Profesional
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,Toshima Ku,"",Tokyo,Private room,¥3228,"$21,63",218,3,-1,'-,Profesional
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,Toshima Ku,"",Tokyo,Private room,¥2152,"$14,42",213,3,-1,'-,Profesional
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,Katsushika Ku,"",Tokyo,Entire home/apt,¥12051,"$80,74",271,8,-1,'-,Profesional
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Private room,¥6026,"$40,37",147,13,-1,'-,Profesional
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Private room,¥6026,"$40,37",118,13,-1,'-,Profesional
1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Shared room,¥3981,"$26,67",151,13,-1,'-,Profesional
1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Shared room,¥3981,"$26,67",124,13,-1,'-,Profesional
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari,Setagaya Ku,"",Tokyo,Private room,¥3336,"$22,35",41,2,-1,'-,Profesional
1600758,Ideal for watching RWC at Tokyo Stadium!,8529477,Mari,Setagaya Ku,"",Tokyo,Private room,¥3336,"$22,35",5,2,-1,'-,Profesional
1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,Shibuya Ku,"",Tokyo,Entire home/apt,¥12912,"$86,51",71,12,-1,'-,Profesional
1732795,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",6606987,K & N,Katsushika Ku,"",Tokyo,Entire home/apt,¥13450,"$90,12",274,3,-1,'-,Profesional
1754294,Home stay with a Japanese language teacher family,6018145,Mari,Shinjuku Ku,"",Tokyo,Private room,¥7747,"$51,90",233,2,-1,'-,Profesional
1774575,CHIC APARTMENT SHIBUYA/ROPPONGI 54103,6591488,Leo,Minato Ku,"",Tokyo,Entire home/apt,¥9146,"$61,28",22,4,-1,'-,Profesional
1937053,MODERN LIVING CLOSE TO JR. SHIBUYA / EBISU,6591488,Leo,Minato Ku,"",Tokyo,Entire home/apt,¥8608,"$57,67",17,4,-1,'-,Profesional
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,Minato Ku,"",Tokyo,Entire home/apt,¥69510,"$465,72",160,3,-1,'-,Profesional
2129583,*B*Tranquil Retreat with LOFT& WIFI near Shinjuku!,9203725,Memz And Taki,Suginami Ku,"",Tokyo,Entire home/apt,¥10975,"$73,53",7,5,-1,'-,Profesional
2219300,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,Suginami Ku,"",Tokyo,Entire home/apt,¥16463,"$110,30",14,5,-1,'-,Profesional
2289698,BEST for 2ppl@Shinjuku Takadanobaba,4799233,Yu,Shinjuku Ku,"",Tokyo,Entire home/apt,¥3981,"$26,67",70,2,-1,'-,Profesional
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Private room,¥6026,"$40,37",78,13,-1,'-,Profesional
2602722,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Shared room,¥3981,"$26,67",140,13,-1,'-,Profesional
