id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
11551,Arty and Bright London Apartment in Zone 2,43039,Adriano,"",Lambeth,London,51.46225,-0.11732,Entire home/apt,"£88,00",185,2
13913,Holiday London DB Room Let-on going,54730,Alina,"",Islington,London,51.56802,-0.11121,Private room,"£65,00",19,2
15400,Bright Chelsea  Apartment. Chelsea!,60302,Philippa,"",Kensington and Chelsea,London,51.48796,-0.16898,Entire home/apt,"£100,00",88,1
17402,Superb 3-Bed/2 Bath & Wifi: Trendy W1,67564,Liz,"",Westminster,London,51.52098,-0.14002,Entire home/apt,"£300,00",41,15
25023,All-comforts 2-bed flat near Wimbledon tennis,102813,Amanda,"",Wandsworth,London,51.44687,-0.21874,Entire home/apt,"£65,00",34,1
25123,Clean big Room in London (Room 1),103583,Grace,"",Barnet,London,51.57224,-0.20906,Private room,"£29,00",124,3
33332,Beautiful Ensuite Richmond-upon-Thames borough,144444,Chi-Chi,"",Hounslow,London,51.46507,-0.32421,Private room,"£100,00",5,2
34825,"Zone 1, Dbl Room, Central London",150078,Michael,"",Camden,London,51.52513,-0.11749,Private room,"£45,00",190,1
36299,Kew Gardens 3BR house in cul-de-sac,155938,Geert,"",Richmond upon Thames,London,51.47934,-0.28066,Entire home/apt,"£195,00",77,1
36660,You are GUARANTEED to love this,157884,Agri & Roger,"",Haringey,London,51.58461,-0.1617,Private room,"£72,00",517,4
36986,Gorgeous Victorian Flat Overlooking London Fields,159556,Michael,"",Hackney,London,51.53972,-0.05885,Entire home/apt,"£80,00",52,1
37384,In the footsteps of William Blake..,161459,Liz,"",Southwark,London,51.46871,-0.06455,Private room,"£70,00",55,1
38151,Double room/ lounge,163634,Lisa,"",Croydon,London,51.4194,-0.08722,Private room,"£65,00",0,1
38407,Canary Wharf Immaculate Apt for 2,164566,John,"",Tower Hamlets,London,51.49995,-0.02624,Entire home/apt,"£79,00",137,1
38605,SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST,165579,Elisa & Dom,"",Hammersmith and Fulham,London,51.50687,-0.23328,Private room,"£62,00",356,2
38610,CHARMING FAMILY HOME SLEEPS 10,165579,Elisa & Dom,"",Hammersmith and Fulham,London,51.50819,-0.23284,Entire home/apt,"£296,00",32,2
38950,Room 1 Large Double Bedroom - front ground floor,167107,Paul,"",Haringey,London,51.5873,-0.08606,Private room,"£45,00",0,4
38995,ROOM IN CONTEMPORARY STYLE FLAT,167281,C,"",Southwark,London,51.47892,-0.0604,Private room,"£45,00",0,1
39387,Stylish bedsit in Notting Hill ish flat.,168920,Alec,"",Westminster,London,51.52589,-0.19942,Private room,"£49,00",9,1
40228,Room 4 Cosy Double Bedroom on First Floor,167107,Paul,"",Haringey,London,51.5886,-0.08805,Private room,"£29,00",0,4
41311,Clean big Room in London (Room 2),103583,Grace,"",Barnet,London,51.57375,-0.2089,Private room,"£25,00",81,3
