id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
12351,Sydney City & Harbour at the door,17061,Stuart,"",Sydney,Sydney,"-33,8652000","151,1918959",Private room,"$100,00",493,2
14250,Manly Harbour House,55948,Heidi,"",Manly,Sydney,"-33,8009000","151,2617222",Entire home/apt,"$471,00",1,2
15253,Stunning Penthouse Apartment In Heart Of The City,59850,Morag,"",Sydney,Sydney,"-33,8805000","151,2165408",Private room,"$109,00",300,2
20865,3 BED HOUSE + 1 BED STUDIO Balmain,64282,Fiona,"",Leichhardt,Sydney,"-33,8591000","151,1727532",Entire home/apt,"$450,00",15,1
26174,"COZY PRIVATE ROOM, GREAT LOCATION!",110561,Amanda,"",Woollahra,Sydney,"-33,8891000","151,2594040",Private room,"$62,00",42,1
38073,Modern apartment with pool and wifi,103476,Connie,"",North Sydney,Sydney,"-33,8344000","151,2088749",Entire home/apt,"$159,00",63,1
39348,Large Bondi studio,168828,Marie,"",Waverley,Sydney,"-33,8848000","151,2829452",Entire home/apt,"$84,00",6,2
44545,Sunny Darlinghurst Warehouse Apartment,112237,Atari,"",Sydney,Sydney,"-33,8800000","151,2155281",Entire home/apt,"$130,00",53,1
45440,Rubys @ Bondi Beach! Huge beachhouse on the beach!,201611,Deborah,"",Waverley,Sydney,"-33,8891000","151,2745058",Entire home/apt,"$700,00",54,10
56842,Beach Breeze 2 BDR + Double balcony+ LOCATION !,113874,Bondi Beach Holiday Homes,"",Waverley,Sydney,"-33,8896000","151,2835531",Entire home/apt,"$226,00",17,53
57183,BONDI BEACHFRONT CENTRAL LOCATION,1623151,Susan,"",Waverley,Sydney,"-33,8918000","151,2730843",Entire home/apt,"$130,00",121,1
58506,"Studio Yindi @ Mosman, Sydney",279955,John,"",Mosman,Sydney,"-33,8193000","151,2365249",Entire home/apt,"$140,00",229,1
58954,Christmas New Year - eastern Sydney,282630,Peter,"",Waverley,Sydney,"-33,8918000","151,2425934",Entire home/apt,"$1073,00",0,1
59297,4-bedroom home Erskineville Sydney Central,284711,Isabel,"",Sydney,Sydney,"-33,9020000","151,1930471",Entire home/apt,"$379,00",6,2
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",299170,Eilish,"",Waverley,Sydney,"-33,8889000","151,2772574",Entire home/apt,"$245,00",23,1
